Eligebloque,Tipo,Span,Estimulo,Respuesta,Letra,CorRec,ensayos.thisRepN,ensayos.thisTrialN,ensayos.thisN,ensayos.thisIndex,ensayosejem.thisRepN,ensayosejem.thisTrialN,ensayosejem.thisN,ensayosejem.thisIndex,span2.thisRepN,span2.thisTrialN,span2.thisN,span2.thisIndex,ensayos2.thisRepN,ensayos2.thisTrialN,ensayos2.thisN,ensayos2.thisIndex,span3.thisRepN,span3.thisTrialN,span3.thisN,span3.thisIndex,ensayos3.thisRepN,ensayos3.thisTrialN,ensayos3.thisN,ensayos3.thisIndex,span4.thisRepN,span4.thisTrialN,span4.thisN,span4.thisIndex,ensayos4.thisRepN,ensayos4.thisTrialN,ensayos4.thisN,ensayos4.thisIndex,span5.thisRepN,span5.thisTrialN,span5.thisN,span5.thisIndex,ensayos5.thisRepN,ensayos5.thisTrialN,ensayos5.thisN,ensayos5.thisIndex,span6.thisRepN,span6.thisTrialN,span6.thisN,span6.thisIndex,ensayos6.thisRepN,ensayos6.thisTrialN,ensayos6.thisN,ensayos6.thisIndex,text_4.started,text_4.stopped,text_6.started,text_6.stopped,text.started,text.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_2.started,text_2.stopped,text_3.started,text_3.stopped,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text_5.started,text_5.stopped,participant,session,date,expName,psychopyVersion,frameRate,
Bloque1.xlsx,Operation,Ejemplo,( 3 - 1 ) × 2 = 4,right,D,None,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.38932209997438,None,84.83623679995071,None,87.16399819997605,None,right,1,3.670613399997819,87.16399819997605,None,90.87378509994596,None,,,,,,,,,,,,,,1 (bmg),001,2021_Apr_25_1004,OperationSpanTask,2021.1.2,59.92412406838694,
Bloque1.xlsx,Operation,Ejemplo,( 3 + 6 ) × 2 = 16,left,T,"['d', 't']",0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.18348819995299,None,left,1,3.464480899972841,92.18348819995299,None,95.68435709999176,None,,,,,,,,,,,,,,1 (bmg),001,2021_Apr_25_1004,OperationSpanTask,2021.1.2,59.92412406838694,
Bloque1.xlsx,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.68954789999407,None,"['d', 't', 'd', 't']",0,"[1.5696429000236094, 1.8990272000082768, 10.419755599985365, 10.786737099988386]",96.68954789999407,None,space,10.70922670001164,97.17231080000056,None,,,1 (bmg),001,2021_Apr_25_1004,OperationSpanTask,2021.1.2,59.92412406838694,
Bloque2.xlsx,Operation,Ejemplo,( 5 - 2 ) × 2 = 3,left,R,None,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.90391949994955,None,110.2380853999639,None,left,1,2.9918505999958143,110.2380853999639,None,113.27605359995505,None,,,,,,,,,,,,,,1 (bmg),001,2021_Apr_25_1004,OperationSpanTask,2021.1.2,59.92412406838694,
Bloque2.xlsx,Operation,Ejemplo,( 4 + 1 ) × 1 = 5,right,V,"['r', 'v']",0,1,1,1,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.56162749999203,None,right,1,2.27129220002098,114.56162749999203,None,116.86388499999885,None,,,,,,,,,,,,,,1 (bmg),001,2021_Apr_25_1004,OperationSpanTask,2021.1.2,59.92412406838694,
Bloque2.xlsx,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.86331990000326,None,"['r', 'v']",1,"[1.5810674999956973, 2.1332695999881253]",117.86331990000326,None,space,2.1509665999910794,118.34769769996637,None,,,1 (bmg),001,2021_Apr_25_1004,OperationSpanTask,2021.1.2,59.92412406838694,
Bloque1.xlsx,Operation,2,( 4 - 1 ) × 1 = 6,left,S,None,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.35407279996434,None,left,1,2.50091830000747,122.35407279996434,None,124.88778799999272,None,,,,,,,,,,,,120.52490009996109,None,1 (bmg),001,2021_Apr_25_1004,OperationSpanTask,2021.1.2,59.92412406838694,
Bloque1.xlsx,Operation,2,( 3 + 1 ) × 3 = 12,right,B,"['s', 'b']",,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.17070199997397,None,right,1,1.8020460000261664,126.17070199997397,None,128.0035372999846,None,,,,,,,,,,,,,,1 (bmg),001,2021_Apr_25_1004,OperationSpanTask,2021.1.2,59.92412406838694,
Bloque1.xlsx,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.0087738999864,None,"['s', 'b']",1,"[1.4596568999695592, 1.96074419998331]",129.0087738999864,None,space,1.8224170999601483,129.49282819998916,None,,,1 (bmg),001,2021_Apr_25_1004,OperationSpanTask,2021.1.2,59.92412406838694,
Bloque2.xlsx,Operation,2,( 4 - 2 ) × 2 = 6,left,T,None,,,,,,,,,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.14640999998664,None,left,1,2.1283890000195242,133.14640999998664,None,135.29918400000315,None,,,,,,,,,,,,131.33595909998985,None,1 (bmg),001,2021_Apr_25_1004,OperationSpanTask,2021.1.2,59.92412406838694,
