letter,correct,thisN,thisTrialN,thisRepN,nback_resp.keys,nback_resp.corr,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,thisRow.t,notes,nback_instruction.started,nback_inst.started,key_resp.started,nback_instruction.stopped,key_resp.keys,key_resp.rt,key_resp.duration,nback.started,nback_stim.started,nback_resp.started,nback_resp.stopped,nback_stim.stopped,nback.stopped,trials_3.nback_resp.keys,trials_3.nback_resp.corr,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,0.6742655420093797,0.6943509170087054,0.6943509170087054,31.2094160419947,space,30.378559540986316,None,,,,,,,,,123,001,2025-05-08_16h31.26.352,OperationSpanTask,2024.2.4,60,2025-05-08 16h31.29.936646 -0700,
M,None,0,0,0,None,1,0,0,0,0,31.231004750006832,,,,,,,,,31.223532458010595,32.708960207994096,32.708960207994096,33.20612020799308,33.71556158299791,33.703791792009724,None,1,123,001,2025-05-08_16h31.26.352,OperationSpanTask,2024.2.4,60,2025-05-08 16h31.29.936646 -0700,
O,None,1,1,0,None,1,0,1,1,1,33.71556158299791,,,,,,,,,33.706370833009714,35.20271241699811,35.20271241699811,35.69955329201184,36.1988763329864,36.18762991699623,None,1,123,001,2025-05-08_16h31.26.352,OperationSpanTask,2024.2.4,60,2025-05-08 16h31.29.936646 -0700,
X,None,2,2,0,None,1,0,2,2,2,36.1988763329864,,,,,,,,,36.189887249987805,37.717219874990406,37.717219874990406,38.21679825001047,38.70992195801227,38.70602991699707,None,1,123,001,2025-05-08_16h31.26.352,OperationSpanTask,2024.2.4,60,2025-05-08 16h31.29.936646 -0700,
P,None,3,3,0,None,1,0,3,3,3,38.70992195801227,,,,,,,,,38.708500874985475,40.20433729200158,40.20433729200158,40.70408416699502,41.20683733301121,41.20350095798494,None,1,123,001,2025-05-08_16h31.26.352,OperationSpanTask,2024.2.4,60,2025-05-08 16h31.29.936646 -0700,
X,None,4,4,0,None,1,0,4,4,4,41.20683733301121,,,,,,,,,41.20482520799851,42.70278545800829,42.70278545800829,43.19888149999315,43.69893549999688,43.691458624991355,None,1,123,001,2025-05-08_16h31.26.352,OperationSpanTask,2024.2.4,60,2025-05-08 16h31.29.936646 -0700,
L,None,5,5,0,None,1,0,5,5,5,43.69893549999688,,,,,,,,,43.69382304200553,45.2045405000099,45.2045405000099,45.698949957994046,46.20710412500193,46.20385304201045,None,1,123,001,2025-05-08_16h31.26.352,OperationSpanTask,2024.2.4,60,2025-05-08 16h31.29.936646 -0700,
P,space,6,6,0,None,0,0,6,6,6,46.20710412500193,,,,,,,,,46.20520054199733,47.702920582989464,47.702920582989464,48.198954624996986,48.698937332985224,48.687619167001685,None,0,123,001,2025-05-08_16h31.26.352,OperationSpanTask,2024.2.4,60,2025-05-08 16h31.29.936646 -0700,
A,None,7,7,0,None,1,0,7,7,7,48.698937332985224,,,,,,,,,48.68975179200061,50.237489249993814,50.237489249993814,50.735748000006424,,51.21753183301189,None,1,123,001,2025-05-08_16h31.26.352,OperationSpanTask,2024.2.4,60,2025-05-08 16h31.29.936646 -0700,
R,None,8,8,0,None,1,0,8,8,8,51.221330958011094,,,,,,,,,51.219897000002675,52.704509708011756,52.704509708011756,53.2041315829847,53.70820787499542,53.704446541989455,None,1,123,001,2025-05-08_16h31.26.352,OperationSpanTask,2024.2.4,60,2025-05-08 16h31.29.936646 -0700,
K,None,9,9,0,None,1,0,9,9,9,53.70820787499542,,,,,,,,,53.70684454200091,55.20307504199445,55.20307504199445,55.69897624998703,56.198926957993535,56.190702207997674,None,1,123,001,2025-05-08_16h31.26.352,OperationSpanTask,2024.2.4,60,2025-05-08 16h31.29.936646 -0700,
A,space,10,10,0,None,0,0,10,10,10,56.198926957993535,,,,,,,,,56.19210037498851,57.70302641700255,57.70302641700255,58.20044112499454,58.69898241700139,58.6908118329884,None,0,123,001,2025-05-08_16h31.26.352,OperationSpanTask,2024.2.4,60,2025-05-08 16h31.29.936646 -0700,
R,space,11,11,0,None,0,0,11,11,11,58.69898241700139,,,,,,,,,58.6920974579989,60.2066477079934,60.2066477079934,60.703212874999736,61.206483124988154,61.201121124991914,None,0,123,001,2025-05-08_16h31.26.352,OperationSpanTask,2024.2.4,60,2025-05-08 16h31.29.936646 -0700,
B,None,12,12,0,None,1,0,12,12,12,61.206483124988154,,,,,,,,,61.20352158299647,62.698786082997685,62.698786082997685,63.18639724998502,63.68904312499217,63.68446774999029,None,1,123,001,2025-05-08_16h31.26.352,OperationSpanTask,2024.2.4,60,2025-05-08 16h31.29.936646 -0700,
N,None,13,13,0,,,0,13,13,13,63.68904312499217,,,,,,,,,63.687369708000915,,,,,,,,,,,,,,,
