thisN,thisTrialN,thisRepN,letter,correct,key_resp.keys,key_resp.rt,key_resp.duration,nback_resp.keys,nback_resp.corr,selectblock,Type,Span,Stimulus,Response,Letter,corrResp,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,sound_loop.thisRepN,sound_loop.thisTrialN,sound_loop.thisN,sound_loop.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trialloop.thisRepN,trialloop.thisTrialN,trialloop.thisN,trialloop.thisIndex,span2.thisRepN,span2.thisTrialN,span2.thisN,span2.thisIndex,trialloop2.thisRepN,trialloop2.thisTrialN,trialloop2.thisN,trialloop2.thisIndex,span3.thisRepN,span3.thisTrialN,span3.thisN,span3.thisIndex,trialloop3.thisRepN,trialloop3.thisTrialN,trialloop3.thisN,trialloop3.thisIndex,span4.thisRepN,span4.thisTrialN,span4.thisN,span4.thisIndex,trialloop4.thisRepN,trialloop4.thisTrialN,trialloop4.thisN,trialloop4.thisIndex,span5.thisRepN,span5.thisTrialN,span5.thisN,span5.thisIndex,trialloop5.thisRepN,trialloop5.thisTrialN,trialloop5.thisN,trialloop5.thisIndex,span6.thisRepN,span6.thisTrialN,span6.thisN,span6.thisIndex,trialloop6.thisRepN,trialloop6.thisTrialN,trialloop6.thisN,trialloop6.thisIndex,thisRow.t,notes,start_sound.started,start_sound.stopped,nback_instruction.started,nback_inst.started,key_resp.started,nback_instruction.stopped,sound_loop.key_resp.keys,sound_loop.key_resp.rt,sound_loop.key_resp.duration,nback.started,nback_stim.started,nback_resp.started,nback_resp.stopped,nback_stim.stopped,nback.stopped,trials_3.nback_resp.keys,trials_3.nback_resp.corr,instructions.started,inst_text.started,key_resp_5.started,instructions.stopped,practice_warning.started,text_6.started,practice_warning.stopped,stimulus.started,text.started,key_resp_2.started,stimulus.stopped,trialloop.key_resp_2.keys,trialloop.key_resp_2.corr,trialloop.key_resp_2.rt,trialloop.key_resp_2.duration,ospan_stim.started,text_2.started,text_2.stopped,ospan_stim.stopped,Recall.started,text_3.started,key_resp_3.started,key_resp_4.started,Recall.stopped,trials.key_resp_3.keys,trials.key_resp_3.corr,trials.key_resp_3.rt,trials.key_resp_3.duration,trials.key_resp_4.keys,trials.key_resp_4.rt,trials.key_resp_4.duration,text_6.stopped,trial_warning.started,text_5.started,text_5.stopped,trial_warning.stopped,trialloop2.key_resp_2.keys,trialloop2.key_resp_2.corr,trialloop2.key_resp_2.rt,trialloop2.key_resp_2.duration,span2.key_resp_3.keys,span2.key_resp_3.corr,span2.key_resp_3.rt,span2.key_resp_3.duration,span2.key_resp_4.keys,span2.key_resp_4.rt,span2.key_resp_4.duration,trialloop3.key_resp_2.keys,trialloop3.key_resp_2.corr,trialloop3.key_resp_2.rt,trialloop3.key_resp_2.duration,span3.key_resp_3.keys,span3.key_resp_3.corr,span3.key_resp_3.rt,span3.key_resp_3.duration,span3.key_resp_4.keys,span3.key_resp_4.rt,span3.key_resp_4.duration,trialloop4.key_resp_2.keys,trialloop4.key_resp_2.corr,trialloop4.key_resp_2.rt,trialloop4.key_resp_2.duration,span4.key_resp_3.keys,span4.key_resp_3.corr,span4.key_resp_3.rt,span4.key_resp_3.duration,span4.key_resp_4.keys,span4.key_resp_4.rt,span4.key_resp_4.duration,trialloop5.key_resp_2.keys,trialloop5.key_resp_2.corr,trialloop5.key_resp_2.rt,trialloop5.key_resp_2.duration,span5.key_resp_3.keys,span5.key_resp_3.corr,span5.key_resp_3.rt,span5.key_resp_3.duration,span5.key_resp_4.keys,span5.key_resp_4.rt,span5.key_resp_4.duration,trialloop6.key_resp_2.keys,trialloop6.key_resp_2.corr,trialloop6.key_resp_2.rt,trialloop6.key_resp_2.duration,span6.key_resp_3.keys,span6.key_resp_3.corr,span6.key_resp_3.rt,span6.key_resp_3.duration,span6.key_resp_4.keys,span6.key_resp_4.rt,span6.key_resp_4.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,M,None,space,0.4117046240135096,None,None,1,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5674764589930419,,0.5385589999787044,0.5386374589870684,0.5386532089905813,0.5552324999880511,1.0339137499977369,1.5484022499877028,space,0.4117046240135096,None,1.562466041999869,3.047150166996289,3.047150166996289,3.5345071249757893,4.036116417002631,4.032325291977031,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,001,2025-05-10_14h05.00.926,OperationSpanTask,2024.2.4,60,2025-05-10 14h05.04.176990 -0700,
1,1,0,O,None,space,0.4117046240135096,None,None,1,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.036116417002631,,,,,,,,,,,4.034711249987595,5.537608708982589,5.537608708982589,6.034508666984038,6.539792750001652,6.535815166978864,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,001,2025-05-10_14h05.00.926,OperationSpanTask,2024.2.4,60,2025-05-10 14h05.04.176990 -0700,
2,2,0,X,None,space,0.4117046240135096,None,None,1,,,,,,,,,,,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.539792750001652,,,,,,,,,,,6.5383837089757435,8.047486083989497,8.047486083989497,8.537261708988808,9.035960874985904,9.032303874992067,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,001,2025-05-10_14h05.00.926,OperationSpanTask,2024.2.4,60,2025-05-10 14h05.04.176990 -0700,
3,3,0,P,None,space,0.4117046240135096,None,None,1,,,,,,,,,,,,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.035960874985904,,,,,,,,,,,9.034557416976895,10.547154125000816,10.547154125000816,11.033940083987545,11.535728291986743,11.532456166984048,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,001,2025-05-10_14h05.00.926,OperationSpanTask,2024.2.4,60,2025-05-10 14h05.04.176990 -0700,
4,4,0,X,None,space,0.4117046240135096,None,None,1,,,,,,,,,,,,,,,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.535728291986743,,,,,,,,,,,11.53386754199164,13.038246916985372,13.038246916985372,13.53436699998565,14.030417208996369,14.022844291990623,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,001,2025-05-10_14h05.00.926,OperationSpanTask,2024.2.4,60,2025-05-10 14h05.04.176990 -0700,
5,5,0,L,None,space,0.4117046240135096,None,None,1,,,,,,,,,,,,,,,,,,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.030417208996369,,,,,,,,,,,14.025185334001435,15.547141083981842,15.547141083981842,16.03394616697915,16.535580333991675,16.53241633399739,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,001,2025-05-10_14h05.00.926,OperationSpanTask,2024.2.4,60,2025-05-10 14h05.04.176990 -0700,
6,6,0,P,space,space,0.4117046240135096,None,None,0,,,,,,,,,,,,,,,,,,,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.535580333991675,,,,,,,,,,,16.5337124170037,18.047134874999756,18.047134874999756,18.538244791998295,19.0414211669995,19.037741084001027,None,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,001,2025-05-10_14h05.00.926,OperationSpanTask,2024.2.4,60,2025-05-10 14h05.04.176990 -0700,
7,7,0,A,None,space,0.4117046240135096,None,None,1,,,,,,,,,,,,,,,,,,,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0414211669995,,,,,,,,,,,19.040010124997934,20.54867508399184,20.54867508399184,21.038637708988972,21.547224124980858,21.5387492919981,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,001,2025-05-10_14h05.00.926,OperationSpanTask,2024.2.4,60,2025-05-10 14h05.04.176990 -0700,
8,8,0,R,None,space,0.4117046240135096,None,None,1,,,,,,,,,,,,,,,,,,,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.547224124980858,,,,,,,,,,,21.541652708983747,23.049470541998744,23.049470541998744,23.539368249999825,24.047189167002216,24.035882583993953,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,001,2025-05-10_14h05.00.926,OperationSpanTask,2024.2.4,60,2025-05-10 14h05.04.176990 -0700,
9,9,0,K,None,space,0.4117046240135096,None,None,1,,,,,,,,,,,,,,,,,,,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.047189167002216,,,,,,,,,,,24.038215624983422,25.536078874982195,25.536078874982195,26.03049908397952,26.53592475000187,26.53266754199285,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,001,2025-05-10_14h05.00.926,OperationSpanTask,2024.2.4,60,2025-05-10 14h05.04.176990 -0700,
