thisN,thisTrialN,thisRepN,letter,correct,key_resp.keys,key_resp.rt,key_resp.duration,nback_resp.keys,nback_resp.corr,selectblock,Type,Span,Stimulus,Response,Letter,corrResp,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,sound_loop.thisRepN,sound_loop.thisTrialN,sound_loop.thisN,sound_loop.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trialloop.thisRepN,trialloop.thisTrialN,trialloop.thisN,trialloop.thisIndex,span2.thisRepN,span2.thisTrialN,span2.thisN,span2.thisIndex,trialloop2.thisRepN,trialloop2.thisTrialN,trialloop2.thisN,trialloop2.thisIndex,span3.thisRepN,span3.thisTrialN,span3.thisN,span3.thisIndex,trialloop3.thisRepN,trialloop3.thisTrialN,trialloop3.thisN,trialloop3.thisIndex,span4.thisRepN,span4.thisTrialN,span4.thisN,span4.thisIndex,trialloop4.thisRepN,trialloop4.thisTrialN,trialloop4.thisN,trialloop4.thisIndex,span5.thisRepN,span5.thisTrialN,span5.thisN,span5.thisIndex,trialloop5.thisRepN,trialloop5.thisTrialN,trialloop5.thisN,trialloop5.thisIndex,span6.thisRepN,span6.thisTrialN,span6.thisN,span6.thisIndex,trialloop6.thisRepN,trialloop6.thisTrialN,trialloop6.thisN,trialloop6.thisIndex,thisRow.t,notes,start_sound.started,start_sound.stopped,nback_instruction.started,nback_inst.started,key_resp.started,nback_instruction.stopped,sound_loop.key_resp.keys,sound_loop.key_resp.rt,sound_loop.key_resp.duration,nback.started,nback_stim.started,nback_resp.started,nback_resp.stopped,nback_stim.stopped,nback.stopped,trials_3.nback_resp.keys,trials_3.nback_resp.corr,instructions.started,inst_text.started,key_resp_5.started,instructions.stopped,practice_warning.started,text_6.started,text_6.stopped,practice_warning.stopped,stimulus.started,text.started,key_resp_2.started,stimulus.stopped,trialloop.key_resp_2.keys,trialloop.key_resp_2.corr,trialloop.key_resp_2.rt,trialloop.key_resp_2.duration,ospan_stim.started,text_2.started,text_2.stopped,ospan_stim.stopped,Recall.started,text_3.started,key_resp_3.started,key_resp_4.started,Recall.stopped,trials.key_resp_3.keys,trials.key_resp_3.corr,trials.key_resp_3.rt,trials.key_resp_3.duration,trials.key_resp_4.keys,trials.key_resp_4.rt,trials.key_resp_4.duration,trial_warning.started,text_5.started,text_5.stopped,trial_warning.stopped,trialloop2.key_resp_2.keys,trialloop2.key_resp_2.corr,trialloop2.key_resp_2.rt,trialloop2.key_resp_2.duration,span2.key_resp_3.keys,span2.key_resp_3.corr,span2.key_resp_4.keys,span2.key_resp_4.rt,span2.key_resp_4.duration,span2.key_resp_3.rt,span2.key_resp_3.duration,trialloop3.key_resp_2.keys,trialloop3.key_resp_2.corr,trialloop3.key_resp_2.rt,trialloop3.key_resp_2.duration,span3.key_resp_3.keys,span3.key_resp_3.corr,span3.key_resp_4.keys,span3.key_resp_4.rt,span3.key_resp_4.duration,span3.key_resp_3.rt,span3.key_resp_3.duration,trialloop4.key_resp_2.keys,trialloop4.key_resp_2.corr,trialloop4.key_resp_2.rt,trialloop4.key_resp_2.duration,span4.key_resp_3.keys,span4.key_resp_3.corr,span4.key_resp_3.rt,span4.key_resp_3.duration,span4.key_resp_4.keys,span4.key_resp_4.rt,span4.key_resp_4.duration,trialloop5.key_resp_2.keys,trialloop5.key_resp_2.corr,trialloop5.key_resp_2.rt,trialloop5.key_resp_2.duration,span5.key_resp_3.keys,span5.key_resp_3.corr,span5.key_resp_3.rt,span5.key_resp_3.duration,span5.key_resp_4.keys,span5.key_resp_4.rt,span5.key_resp_4.duration,trialloop6.key_resp_2.keys,trialloop6.key_resp_2.corr,trialloop6.key_resp_2.rt,trialloop6.key_resp_2.duration,span6.key_resp_3.keys,span6.key_resp_3.corr,span6.key_resp_3.rt,span6.key_resp_3.duration,span6.key_resp_4.keys,span6.key_resp_4.rt,span6.key_resp_4.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,M,None,space,2.2695940409903415,None,None,1,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4564362919772975,,0.6574041249696165,0.657485541945789,0.6575021669850685,0.6708283749758266,1.1506174999522045,3.432581874949392,space,2.2695940409903415,None,3.4469309589476325,4.929658249951899,4.929658249951899,5.416986916970927,5.919566500000656,5.915245624957606,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,001,2025-05-13_15h17.51.485,OperationSpanTask,2024.2.4,60,2025-05-13 15h17.54.480062 -0700,
1,1,0,O,None,space,2.2695940409903415,None,None,1,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.919566500000656,,,,,,,,,,,5.917918999970425,7.429730749980081,7.429730749980081,7.917211083986331,8.41964704199927,8.415244833973702,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,001,2025-05-13_15h17.51.485,OperationSpanTask,2024.2.4,60,2025-05-13 15h17.54.480062 -0700,
2,2,0,X,None,space,2.2695940409903415,None,None,1,,,,,,,,,,,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.41964704199927,,,,,,,,,,,8.417919874947984,9.929670291952789,9.929670291952789,10.417186042002868,10.91963791695889,10.915360083978157,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,001,2025-05-13_15h17.51.485,OperationSpanTask,2024.2.4,60,2025-05-13 15h17.54.480062 -0700,
3,3,0,P,None,space,2.2695940409903415,None,None,1,,,,,,,,,,,,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.91963791695889,,,,,,,,,,,10.918015916948207,12.429646874952596,12.429646874952596,12.917129249952268,13.418619124975521,13.41525812499458,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,001,2025-05-13_15h17.51.485,OperationSpanTask,2024.2.4,60,2025-05-13 15h17.54.480062 -0700,
4,4,0,X,None,space,2.2695940409903415,None,None,1,,,,,,,,,,,,,,,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.418619124975521,,,,,,,,,,,13.416604916972574,14.929587041959167,14.929587041959167,15.419530208979268,15.921558624948375,15.917848666955251,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,001,2025-05-13_15h17.51.485,OperationSpanTask,2024.2.4,60,2025-05-13 15h17.54.480062 -0700,
5,5,0,L,None,space,2.2695940409903415,None,None,1,,,,,,,,,,,,,,,,,,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.921558624948375,,,,,,,,,,,15.920140417001676,17.429589166946243,17.429589166946243,17.91644041700056,18.41785870899912,18.414703124959487,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,001,2025-05-13_15h17.51.485,OperationSpanTask,2024.2.4,60,2025-05-13 15h17.54.480062 -0700,
6,6,0,P,space,space,2.2695940409903415,None,None,0,,,,,,,,,,,,,,,,,,,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.41785870899912,,,,,,,,,,,18.41601179196732,19.93093199998839,19.93093199998839,20.41788079199614,20.92993604199728,20.91832674999023,None,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,001,2025-05-13_15h17.51.485,OperationSpanTask,2024.2.4,60,2025-05-13 15h17.54.480062 -0700,
7,7,0,A,None,space,2.2695940409903415,None,None,1,,,,,,,,,,,,,,,,,,,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.92993604199728,,,,,,,,,,,20.920217208971735,22.42967891698936,22.42967891698936,22.916622958960943,23.418689666956197,23.41484608396422,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,001,2025-05-13_15h17.51.485,OperationSpanTask,2024.2.4,60,2025-05-13 15h17.54.480062 -0700,
8,8,0,R,None,space,2.2695940409903415,None,None,1,,,,,,,,,,,,,,,,,,,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.418689666956197,,,,,,,,,,,23.417202374956105,24.93087524996372,24.93087524996372,25.4318258339772,25.92973362497287,25.9183227919857,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,001,2025-05-13_15h17.51.485,OperationSpanTask,2024.2.4,60,2025-05-13 15h17.54.480062 -0700,
9,9,0,K,None,space,2.2695940409903415,None,None,1,,,,,,,,,,,,,,,,,,,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.92973362497287,,,,,,,,,,,25.920725958945695,27.430902749998495,27.430902749998495,27.929590833955444,28.421529791958164,28.41817366698524,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,001,2025-05-13_15h17.51.485,OperationSpanTask,2024.2.4,60,2025-05-13 15h17.54.480062 -0700,
