Eligebloque,Tipo,Span,Estimulo,Respuesta,Letra,CorRec,ensayos.thisRepN,ensayos.thisTrialN,ensayos.thisN,ensayos.thisIndex,ensayosejem.thisRepN,ensayosejem.thisTrialN,ensayosejem.thisN,ensayosejem.thisIndex,span2.thisRepN,span2.thisTrialN,span2.thisN,span2.thisIndex,ensayos2.thisRepN,ensayos2.thisTrialN,ensayos2.thisN,ensayos2.thisIndex,span3.thisRepN,span3.thisTrialN,span3.thisN,span3.thisIndex,ensayos3.thisRepN,ensayos3.thisTrialN,ensayos3.thisN,ensayos3.thisIndex,span4.thisRepN,span4.thisTrialN,span4.thisN,span4.thisIndex,ensayos4.thisRepN,ensayos4.thisTrialN,ensayos4.thisN,ensayos4.thisIndex,span5.thisRepN,span5.thisTrialN,span5.thisN,span5.thisIndex,ensayos5.thisRepN,ensayos5.thisTrialN,ensayos5.thisN,ensayos5.thisIndex,span6.thisRepN,span6.thisTrialN,span6.thisN,span6.thisIndex,ensayos6.thisRepN,ensayos6.thisTrialN,ensayos6.thisN,ensayos6.thisIndex,text_4.started,text_4.stopped,text_6.started,text_6.stopped,text.started,text.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_2.started,text_2.stopped,text_3.started,text_3.stopped,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text_5.started,text_5.stopped,participant,session,date,expName,psychopyVersion,frameRate,
Bloque1.xlsx,Operation,Ejemplo,( 3 - 1 ) × 2 = 4,right,D,None,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.296503199962899,None,47.89473359985277,None,50.2318122999277,None,right,1,8.784682299941778,50.2318122999277,None,59.067337499931455,None,,,,,,,,,,,,,,1,001,2021_Mar_29_1342,OperationSpanTask,2021.1.2,59.964908547547616,
Bloque1.xlsx,Operation,Ejemplo,( 3 + 6 ) × 2 = 16,left,T,"['d', 't']",0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.36251699994318,None,left,1,4.36698679998517,60.36251699994318,None,64.76376569992863,None,,,,,,,,,,,,,,1,001,2021_Mar_29_1342,OperationSpanTask,2021.1.2,59.964908547547616,
Bloque1.xlsx,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.76606769999489,None,"['d', 't']",1,"[1.633315100101754, 2.1370918001048267]",65.76606769999489,None,space,4.6156673999503255,66.23469489999115,None,,,1,001,2021_Mar_29_1342,OperationSpanTask,2021.1.2,59.964908547547616,
Bloque2.xlsx,Operation,Ejemplo,( 5 - 2 ) × 2 = 3,left,R,None,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.87382759992033,None,73.22520400001667,None,left,1,5.110835900064558,73.22520400001667,None,78.38259819988161,None,,,,,,,,,,,,,,1,001,2021_Mar_29_1342,OperationSpanTask,2021.1.2,59.964908547547616,
Bloque2.xlsx,Operation,Ejemplo,( 4 + 1 ) × 1 = 5,right,V,"['r', 'v']",0,1,1,1,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.6822379999794,None,right,1,2.5557129001244903,79.6822379999794,None,82.27254859986715,None,,,,,,,,,,,,,,1,001,2021_Mar_29_1342,OperationSpanTask,2021.1.2,59.964908547547616,
Bloque2.xlsx,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.2863169000484,None,"['r', 'v', 'r', 'v']",0,"[1.3470258999150246, 1.6914309000130743, 7.9929198999889195, 8.331811300013214]",83.2863169000484,None,space,8.277607799973339,83.77024680003524,None,,,1,001,2021_Mar_29_1342,OperationSpanTask,2021.1.2,59.964908547547616,
Bloque1.xlsx,Operation,2,( 4 - 1 ) × 1 = 6,left,S,None,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.89836700004525,None,left,1,5.995551800122485,93.89836700004525,None,99.93748570000753,None,,,,,,,,,,,,92.0774369998835,None,1,001,2021_Mar_29_1342,OperationSpanTask,2021.1.2,59.964908547547616,
Bloque1.xlsx,Operation,2,( 3 + 1 ) × 3 = 12,right,B,"['s', 'b']",,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.22277430002578,None,right,1,3.362562600057572,101.22277430002578,None,104.62284879991785,None,,,,,,,,,,,,,,1,001,2021_Mar_29_1342,OperationSpanTask,2021.1.2,59.964908547547616,
Bloque1.xlsx,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.62662899983115,None,"['s', 'b', 's', 'b']",0,"[1.5412057999055833, 2.140186100034043, 7.391120899934322, 7.8316677999682724]",105.62662899983115,None,space,10.13236410007812,106.1103014999535,None,,,1,001,2021_Mar_29_1342,OperationSpanTask,2021.1.2,59.964908547547616,
Bloque2.xlsx,Operation,2,( 4 - 2 ) × 2 = 6,left,T,None,,,,,,,,,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.07565959985368,None,left,1,2.438296200009063,118.07565959985368,None,120.54508990002796,None,,,,,,,,,,,,116.27045399998315,None,1,001,2021_Mar_29_1342,OperationSpanTask,2021.1.2,59.964908547547616,
Bloque2.xlsx,Operation,2,( 4 - 1 ) × 4 = 12,right,N,"['t', 'n']",,,,,,,,,0,1,1,1,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.84659279999323,None,right,1,4.649437200045213,121.84659279999323,None,126.53547100001015,None,,,,,,,,,,,,,,1,001,2021_Mar_29_1342,OperationSpanTask,2021.1.2,59.964908547547616,
Bloque2.xlsx,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.5354661999736,None,"['t', 'n', 't', 'n']",0,"[1.3857980000320822, 1.8231664998456836, 17.918749399948865, 18.27559219999239]",127.5354661999736,None,space,18.10070710000582,128.01817649998702,None,,,1,001,2021_Mar_29_1342,OperationSpanTask,2021.1.2,59.964908547547616,
Bloque3.xlsx,Operation,2,( 3 + 6 ) × 4 = 36,right,P,None,,,,,,,,,0,2,2,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.97288529993966,None,right,1,7.29424890014343,147.97288529993966,None,155.29436489986256,None,,,,,,,,,,,,146.1453619999811,None,1,001,2021_Mar_29_1342,OperationSpanTask,2021.1.2,59.964908547547616,
Bloque3.xlsx,Operation,2,( 5 - 1 ) × 1 = 6,left,R,"['p', 'r']",,,,,,,,,0,2,2,2,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.60429759998806,None,left,1,2.8100566000211984,156.60429759998806,None,159.43763339985162,None,,,,,,,,,,,,,,1,001,2021_Mar_29_1342,OperationSpanTask,2021.1.2,59.964908547547616,
Bloque3.xlsx,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.4368783000391,None,"['p', 'r']",1,"[1.3717469999101013, 2.1058650999329984]",160.4368783000391,None,space,2.0453832999337465,160.92070199991576,None,,,1,001,2021_Mar_29_1342,OperationSpanTask,2021.1.2,59.964908547547616,
Bloque1.xlsx,Operation,3,( 4 + 2 ) × 2 = 8,left,C,None,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.80849209986627,None,left,1,3.6725908000953496,164.80849209986627,None,168.5185591999907,None,,,,,,,,,,,,163.00161210005172,None,1,001,2021_Mar_29_1342,OperationSpanTask,2021.1.2,59.964908547547616,
Bloque1.xlsx,Operation,3,( 3 - 1 ) × 3 = 5,left,L,None,,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.8158201999031,None,left,1,2.4691206999123096,169.8158201999031,None,172.32041469984688,None,,,,,,,,,,,,,,1,001,2021_Mar_29_1342,OperationSpanTask,2021.1.2,59.964908547547616,
Bloque1.xlsx,Operation,3,( 5 - 1 ) × 5 = 20,right,G,"['c', 'l', 'g']",,,,,,,,,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.61940649989992,None,right,1,3.2664845001418144,173.61940649989992,None,176.9206546000205,None,,,,,,,,,,,,,,1,001,2021_Mar_29_1342,OperationSpanTask,2021.1.2,59.964908547547616,
Bloque1.xlsx,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177.92467739991844,None,"['c', 'l', 'g']",1,"[1.2685618000105023, 1.7858851000200957, 2.4638640000484884]",177.92467739991844,None,space,3.583153600106016,178.4101400000509,None,,,1,001,2021_Mar_29_1342,OperationSpanTask,2021.1.2,59.964908547547616,
Bloque2.xlsx,Operation,3,( 4 - 2 ) × 3 = 9,left,J,None,,,,,,,,,,,,,,,,,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183.8457801998593,None,left,1,6.545743599999696,183.8457801998593,None,190.43708349997178,None,,,,,,,,,,,,182.0137954999227,None,1,001,2021_Mar_29_1342,OperationSpanTask,2021.1.2,59.964908547547616,
Bloque2.xlsx,Operation,3,( 3 + 8 ) × 5 = 53,left,M,None,,,,,,,,,,,,,,,,,0,1,1,1,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191.73949219984934,None,right,0,8.566131700063124,191.73949219984934,None,200.35071139992215,None,,,,,,,,,,,,,,1,001,2021_Mar_29_1342,OperationSpanTask,2021.1.2,59.964908547547616,
Bloque2.xlsx,Operation,3,( 4 + 7 ) × 2 = 22,right,B,"['j', 'm', 'b']",,,,,,,,,,,,,,,,,0,1,1,1,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201.65086729987524,None,left,0,5.35402029985562,201.65086729987524,None,207.0232696000021,None,,,,,,,,,,,,,,1,001,2021_Mar_29_1342,OperationSpanTask,2021.1.2,59.964908547547616,
Bloque2.xlsx,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208.02405410003848,None,"['c', 'b']",0,"[2.117867600172758, 2.467220100108534]",208.02405410003848,None,space,2.767986699938774,208.50808449997567,None,,,1,001,2021_Mar_29_1342,OperationSpanTask,2021.1.2,59.964908547547616,
Bloque3.xlsx,Operation,3,( 3 + 6 ) × 5 = 43,right,Z,None,,,,,,,,,,,,,,,,,0,2,2,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213.09500400000252,None,left,0,8.383538200054318,213.09500400000252,None,221.5082314000465,None,,,,,,,,,,,,211.29512359993532,None,1,001,2021_Mar_29_1342,OperationSpanTask,2021.1.2,59.964908547547616,
Bloque3.xlsx,Operation,3,( 6 - 1 ) × 3 = 19,right,F,None,,,,,,,,,,,,,,,,,0,2,2,2,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222.80718100001104,None,left,0,3.0905752999242395,222.80718100001104,None,225.93643320002593,None,,,,,,,,,,,,,,1,001,2021_Mar_29_1342,OperationSpanTask,2021.1.2,59.964908547547616,
Bloque3.xlsx,Operation,3,( 4 + 2 ) × 4 = 23,right,T,"['z', 'f', 't']",,,,,,,,,,,,,,,,,0,2,2,2,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227.22724459995516,None,left,0,4.139269100036472,227.22724459995516,None,231.38370210002176,None,,,,,,,,,,,,,,1,001,2021_Mar_29_1342,OperationSpanTask,2021.1.2,59.964908547547616,
Bloque3.xlsx,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232.38301289989613,None,"['x', 'f', 'l', 't']",0,"[1.6706370001193136, 2.1967715001665056, 2.690798700088635, 3.298316900152713]",232.38301289989613,None,space,3.2226273000705987,232.8665442999918,None,,,1,001,2021_Mar_29_1342,OperationSpanTask,2021.1.2,59.964908547547616,
Bloque1.xlsx,Operation,4,( 6 + 2 ) × 1 = 8,right,D,None,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,237.92258020001464,None,left,0,3.8157333000563085,237.92258020001464,None,241.76299860002473,None,,,,,,,,,,,,236.13168939994648,None,1,001,2021_Mar_29_1342,OperationSpanTask,2021.1.2,59.964908547547616,
Bloque1.xlsx,Operation,4,( 4 - 3 ) × 5 = 5,left,V,None,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,243.0615236000158,None,right,0,3.615920400014147,243.0615236000158,None,246.7006279998459,None,,,,,,,,,,,,,,1,001,2021_Mar_29_1342,OperationSpanTask,2021.1.2,59.964908547547616,
Bloque1.xlsx,Operation,4,( 3 - 1 ) × 5 = 10,left,M,None,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,248.00149719999172,None,left,1,5.814223899971694,248.00149719999172,None,253.84956489992328,None,,,,,,,,,,,,,,1,001,2021_Mar_29_1342,OperationSpanTask,2021.1.2,59.964908547547616,
Bloque1.xlsx,Operation,4,( 6 - 1 ) × 1 = 6,left,P,"['d', 'v', 'm', 'p']",,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,255.14144609984942,None,left,1,5.4852891999762505,255.14144609984942,None,260.65905470005237,None,,,,,,,,,,,,,,1,001,2021_Mar_29_1342,OperationSpanTask,2021.1.2,59.964908547547616,
Bloque1.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261.6653237999417,None,"['v', 'p', 'm']",0,"[1.3435487998649478, 1.8568108999170363, 2.1130045999307185]",261.6653237999417,None,space,2.4828790000174195,262.1328052999452,None,,,1,001,2021_Mar_29_1342,OperationSpanTask,2021.1.2,59.964908547547616,
Bloque2.xlsx,Operation,4,( 3 - 2 ) × 1 = 1,right,G,None,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,266.47211589990184,None,right,1,3.534548799972981,266.47211589990184,None,270.0358795998618,None,,,,,,,,,,,,264.63820419996046,None,1,001,2021_Mar_29_1342,OperationSpanTask,2021.1.2,59.964908547547616,
Bloque2.xlsx,Operation,4,( 4 + 9 ) × 2 = 26,right,B,None,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,0,1,1,1,,,,,,,,,,,,,,,,,,,,,271.327201299835,None,right,1,7.32734109996818,271.327201299835,None,278.69868310005404,None,,,,,,,,,,,,,,1,001,2021_Mar_29_1342,OperationSpanTask,2021.1.2,59.964908547547616,
Bloque2.xlsx,Operation,4,( 3 + 9 ) × 1 = 12,right,Q,None,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,0,2,2,2,,,,,,,,,,,,,,,,,,,,,280.0034439000301,None,right,1,8.497241399949417,280.0034439000301,None,288.5447130999528,None,,,,,,,,,,,,,,1,001,2021_Mar_29_1342,OperationSpanTask,2021.1.2,59.964908547547616,
Bloque2.xlsx,Operation,4,( 6 + 2 ) × 2 = 16,right,R,"['g', 'b', 'q', 'r']",,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,0,3,3,3,,,,,,,,,,,,,,,,,,,,,289.8309007999487,None,left,0,4.505848200060427,289.8309007999487,None,294.3606022000313,None,,,,,,,,,,,,,,1,001,2021_Mar_29_1342,OperationSpanTask,2021.1.2,59.964908547547616,
Bloque2.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,295.37012650002725,None,"['k', 'r']",0,"[1.440608800156042, 1.9497500001452863]",295.37012650002725,None,space,2.231158100068569,295.85389679996297,None,,,1,001,2021_Mar_29_1342,OperationSpanTask,2021.1.2,59.964908547547616,
Bloque3.xlsx,Operation,4,( 4 + 8 ) × 1 = 11,right,S,None,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,299.9603713999968,None,left,0,4.429183299886063,299.9603713999968,None,304.4148218999617,None,,,,,,,,,,,,298.11397759988904,None,1,001,2021_Mar_29_1342,OperationSpanTask,2021.1.2,59.964908547547616,
Bloque3.xlsx,Operation,4,( 3 - 2 ) × 1 = 4,right,J,None,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,0,1,1,1,,,,,,,,,,,,,,,,,,,,,305.71509509999305,None,left,0,2.582957400009036,305.71509509999305,None,308.3197188000195,None,,,,,,,,,,,,,,1,001,2021_Mar_29_1342,OperationSpanTask,2021.1.2,59.964908547547616,
Bloque3.xlsx,Operation,4,( 1 + 4 ) × 2 = 10,right,N,None,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,0,2,2,2,,,,,,,,,,,,,,,,,,,,,309.6195634000469,None,right,1,2.556818400043994,309.6195634000469,None,312.21332979993895,None,,,,,,,,,,,,,,1,001,2021_Mar_29_1342,OperationSpanTask,2021.1.2,59.964908547547616,
Bloque3.xlsx,Operation,4,( 3 + 7 ) × 1 = 10,left,T,"['s', 'j', 'n', 't']",,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,0,3,3,3,,,,,,,,,,,,,,,,,,,,,313.50712860003114,None,right,0,3.1018846000079066,313.50712860003114,None,316.62741019995883,None,,,,,,,,,,,,,,1,001,2021_Mar_29_1342,OperationSpanTask,2021.1.2,59.964908547547616,
Bloque3.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317.62675739987753,None,"['s', 'j', 'n', 't']",1,"[1.0622692999895662, 1.3088793999049813, 1.4975912000518292, 1.7719713000115007]",317.62675739987753,None,space,2.712548299925402,318.11046619992703,None,,,1,001,2021_Mar_29_1342,OperationSpanTask,2021.1.2,59.964908547547616,
Bloque1.xlsx,Operation,5,( 5 - 2 ) × 3 = 9,right,L,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,322.6657718999777,None,right,1,13.16357189998962,322.6657718999777,None,335.8496797999833,None,,,,,,,,,,,,320.8584584000055,None,1,001,2021_Mar_29_1342,OperationSpanTask,2021.1.2,59.964908547547616,
