thisN,thisTrialN,thisRepN,letter,correct,sound_question_textbox.text,sound_question_resp.keys,sound_question_resp.rt,sound_question_resp.duration,key_resp.keys,key_resp.rt,key_resp.duration,nback_resp.keys,nback_resp.corr,Type,Span,Stimulus,Response,Letter,corrResp,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,key_resp_3.keys,key_resp_3.corr,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,sound_loop.thisRepN,sound_loop.thisTrialN,sound_loop.thisN,sound_loop.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trialloop.thisRepN,trialloop.thisTrialN,trialloop.thisN,trialloop.thisIndex,trialloop2.thisRepN,trialloop2.thisTrialN,trialloop2.thisN,trialloop2.thisIndex,thisRow.t,notes,random_2.started,random_2.stopped,start_sound.started,start_sound.stopped,sound_question.started,sound_question_text.started,sound_question_textbox.started,sound_question_resp.started,sound_question.stopped,sound_loop.sound_question_textbox.text,sound_loop.sound_question_resp.keys,sound_loop.sound_question_resp.rt,sound_loop.sound_question_resp.duration,nback_instruction.started,nback_inst.started,key_resp.started,nback_instruction.stopped,sound_loop.key_resp.keys,sound_loop.key_resp.rt,sound_loop.key_resp.duration,nback.started,nback_stim.started,nback_resp.started,nback_resp.stopped,nback_stim.stopped,nback.stopped,trials_3.nback_resp.keys,trials_3.nback_resp.corr,instructions.started,inst_text.started,key_resp_5.started,instructions.stopped,practice_warning.started,text_6.started,practice_warning.stopped,stimulus.started,text.started,key_resp_2.started,stimulus.stopped,trialloop.key_resp_2.keys,trialloop.key_resp_2.corr,trialloop.key_resp_2.rt,trialloop.key_resp_2.duration,ospan_stim.started,text_2.started,ospan_stim.stopped,Recall.started,text_3.started,key_resp_3.started,key_resp_4.started,Recall.stopped,sound_loop.key_resp_3.keys,sound_loop.key_resp_3.corr,sound_loop.key_resp_4.keys,sound_loop.key_resp_4.rt,sound_loop.key_resp_4.duration,trial_warning.started,text_5.started,trial_warning.stopped,trialloop2.key_resp_2.keys,trialloop2.key_resp_2.corr,trialloop2.key_resp_2.rt,trialloop2.key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,M,None,binaural ,return,6.296534100081772,None,space,0.36516369972378016,None,None,1,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,8.088706400245428,,0.08525130013003945,0.08542790031060576,0.7216805000789464,0.721753700170666,0.7485215002670884,0.7736353003419936,0.7736353003419936,0.7736353003419936,7.091786900069565,binaural ,return,6.296534100081772,None,7.0918650003150105,7.1053778999485075,7.607679200358689,7.999418900348246,space,0.36516369972378016,None,8.06490430003032,9.504940799903125,9.504940799903125,10.006299400236458,10.503971500322223,10.492695200257003,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2025-05-13_16h21.12.970,OperationSpanTask,2024.2.4,60,2025-05-13 16h21.16.463240 -0700,
1,1,0,O,None,binaural ,return,6.296534100081772,None,space,0.36516369972378016,None,None,1,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,10.503971500322223,,,,,,,,,,,,,,,,,,,,,,10.499321199953556,12.02250330010429,12.02250330010429,12.538825700059533,,13.008691800292581,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2025-05-13_16h21.12.970,OperationSpanTask,2024.2.4,60,2025-05-13 16h21.16.463240 -0700,
2,2,0,X,None,binaural ,return,6.296534100081772,None,space,0.36516369972378016,None,None,1,,,,,,,,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,13.036211600061506,,,,,,,,,,,,,,,,,,,,,,13.0183304999955,14.504759100265801,14.504759100265801,15.00468510016799,15.519077500328422,15.492290900088847,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2025-05-13_16h21.12.970,OperationSpanTask,2024.2.4,60,2025-05-13 16h21.16.463240 -0700,
3,3,0,P,None,binaural ,return,6.296534100081772,None,space,0.36516369972378016,None,None,1,,,,,,,,,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,15.519077500328422,,,,,,,,,,,,,,,,,,,,,,15.499191400129348,17.00381000014022,17.00381000014022,17.5042238002643,18.003744600340724,17.993403499945998,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2025-05-13_16h21.12.970,OperationSpanTask,2024.2.4,60,2025-05-13 16h21.16.463240 -0700,
4,4,0,X,None,binaural ,return,6.296534100081772,None,space,0.36516369972378016,None,None,1,,,,,,,,,,,,,,,,0,0,0,0,0,4,4,4,,,,,,,,,18.003744600340724,,,,,,,,,,,,,,,,,,,,,,17.997903400100768,19.50346580008045,19.50346580008045,20.003230799920857,20.51928379992023,20.491138800047338,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2025-05-13_16h21.12.970,OperationSpanTask,2024.2.4,60,2025-05-13 16h21.16.463240 -0700,
5,5,0,L,None,binaural ,return,6.296534100081772,None,space,0.36516369972378016,None,None,1,,,,,,,,,,,,,,,,0,0,0,0,0,5,5,5,,,,,,,,,20.51928379992023,,,,,,,,,,,,,,,,,,,,,,20.497800500132143,22.002598999999464,22.002598999999464,22.503444199915975,23.00218990026042,22.99030019994825,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2025-05-13_16h21.12.970,OperationSpanTask,2024.2.4,60,2025-05-13 16h21.16.463240 -0700,
6,6,0,P,space,binaural ,return,6.296534100081772,None,space,0.36516369972378016,None,None,0,,,,,,,,,,,,,,,,0,0,0,0,0,6,6,6,,,,,,,,,23.00218990026042,,,,,,,,,,,,,,,,,,,,,,22.994744800031185,24.502474300097674,24.502474300097674,25.002188799902797,25.519695200026035,25.492226399946958,None,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2025-05-13_16h21.12.970,OperationSpanTask,2024.2.4,60,2025-05-13 16h21.16.463240 -0700,
7,7,0,A,None,binaural ,return,6.296534100081772,None,space,0.36516369972378016,None,None,1,,,,,,,,,,,,,,,,0,0,0,0,0,7,7,7,,,,,,,,,25.519695200026035,,,,,,,,,,,,,,,,,,,,,,25.501463300082833,27.018806300126016,27.018806300126016,27.53667710023001,,28.011378100141883,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2025-05-13_16h21.12.970,OperationSpanTask,2024.2.4,60,2025-05-13 16h21.16.463240 -0700,
8,8,0,R,None,binaural ,return,6.296534100081772,None,space,0.36516369972378016,None,None,1,,,,,,,,,,,,,,,,0,0,0,0,0,8,8,8,,,,,,,,,28.03460199991241,,,,,,,,,,,,,,,,,,,,,,28.02502950001508,29.51808900013566,29.51808900013566,30.03473800001666,,30.510490000247955,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2025-05-13_16h21.12.970,OperationSpanTask,2024.2.4,60,2025-05-13 16h21.16.463240 -0700,
9,9,0,K,None,binaural ,return,6.296534100081772,None,space,0.36516369972378016,None,None,1,,,,,,,,,,,,,,,,0,0,0,0,0,9,9,9,,,,,,,,,30.55074519990012,,,,,,,,,,,,,,,,,,,,,,30.528319800272584,32.01773390034214,32.01773390034214,32.53513860004023,,33.004203900229186,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2025-05-13_16h21.12.970,OperationSpanTask,2024.2.4,60,2025-05-13 16h21.16.463240 -0700,
10,10,0,A,space,binaural ,return,6.296534100081772,None,space,0.36516369972378016,None,None,0,,,,,,,,,,,,,,,,0,0,0,0,0,10,10,10,,,,,,,,,33.01720230001956,,,,,,,,,,,,,,,,,,,,,,33.00698750000447,34.500333700329065,34.500333700329065,35.00023300014436,35.516398900188506,35.49926070030779,None,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2025-05-13_16h21.12.970,OperationSpanTask,2024.2.4,60,2025-05-13 16h21.16.463240 -0700,
11,11,0,R,space,binaural ,return,6.296534100081772,None,space,0.36516369972378016,None,None,0,,,,,,,,,,,,,,,,0,0,0,0,0,11,11,11,,,,,,,,,35.516398900188506,,,,,,,,,,,,,,,,,,,,,,35.50487940013409,37.032915300223976,37.032915300223976,37.534371400251985,,38.02562800003216,None,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2025-05-13_16h21.12.970,OperationSpanTask,2024.2.4,60,2025-05-13 16h21.16.463240 -0700,
12,12,0,B,None,binaural ,return,6.296534100081772,None,space,0.36516369972378016,None,None,1,,,,,,,,,,,,,,,,0,0,0,0,0,12,12,12,,,,,,,,,38.04903860017657,,,,,,,,,,,,,,,,,,,,,,38.03949140012264,39.499322200194,39.499322200194,39.99922100035474,40.51418820023537,40.488486899994314,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2025-05-13_16h21.12.970,OperationSpanTask,2024.2.4,60,2025-05-13 16h21.16.463240 -0700,
13,13,0,N,None,binaural ,return,6.296534100081772,None,space,0.36516369972378016,None,None,1,,,,,,,,,,,,,,,,0,0,0,0,0,13,13,13,,,,,,,,,40.51418820023537,,,,,,,,,,,,,,,,,,,,,,40.498187200166285,42.01538710016757,42.01538710016757,42.51509970007464,,43.00432289997116,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2025-05-13_16h21.12.970,OperationSpanTask,2024.2.4,60,2025-05-13 16h21.16.463240 -0700,
14,14,0,T,None,binaural ,return,6.296534100081772,None,space,0.36516369972378016,None,None,1,,,,,,,,,,,,,,,,0,0,0,0,0,14,14,14,,,,,,,,,43.03110120026395,,,,,,,,,,,,,,,,,,,,,,43.014887100085616,44.514680800028145,44.514680800028145,45.032338900025934,,45.50772720016539,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2025-05-13_16h21.12.970,OperationSpanTask,2024.2.4,60,2025-05-13 16h21.16.463240 -0700,
15,15,0,T,None,binaural ,return,6.296534100081772,None,space,0.36516369972378016,None,None,1,,,,,,,,,,,,,,,,0,0,0,0,0,15,15,15,,,,,,,,,45.53117970004678,,,,,,,,,,,,,,,,,,,,,,45.50831880001351,47.014168000314385,47.014168000314385,47.51425090013072,,48.00275509990752,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2025-05-13_16h21.12.970,OperationSpanTask,2024.2.4,60,2025-05-13 16h21.16.463240 -0700,
16,16,0,N,space,binaural ,return,6.296534100081772,None,space,0.36516369972378016,None,None,0,,,,,,,,,,,,,,,,0,0,0,0,0,16,16,16,,,,,,,,,48.01393359992653,,,,,,,,,,,,,,,,,,,,,,48.007058599963784,49.53032830031589,49.53032830031589,50.06360370013863,,50.507451000157744,None,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2025-05-13_16h21.12.970,OperationSpanTask,2024.2.4,60,2025-05-13 16h21.16.463240 -0700,
17,17,0,Y,None,binaural ,return,6.296534100081772,None,space,0.36516369972378016,None,None,1,,,,,,,,,,,,,,,,0,0,0,0,0,17,17,17,,,,,,,,,50.52930900035426,,,,,,,,,,,,,,,,,,,,,,50.52103490009904,52.013524500187486,52.013524500187486,52.512967200018466,,53.00172680011019,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2025-05-13_16h21.12.970,OperationSpanTask,2024.2.4,60,2025-05-13 16h21.16.463240 -0700,
18,18,0,S,None,binaural ,return,6.296534100081772,None,space,0.36516369972378016,None,None,1,,,,,,,,,,,,,,,,0,0,0,0,0,18,18,18,,,,,,,,,53.027788599953055,,,,,,,,,,,,,,,,,,,,,,53.01143220020458,54.5126391001977,54.5126391001977,55.012345700059086,,55.50138070015237,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2025-05-13_16h21.12.970,OperationSpanTask,2024.2.4,60,2025-05-13 16h21.16.463240 -0700,
