thisN,thisTrialN,thisRepN,letter,correct,sound_question_textbox.text,sound_question_resp.keys,sound_question_resp.rt,sound_question_resp.duration,key_resp.keys,key_resp.rt,key_resp.duration,nback_resp.keys,nback_resp.corr,Type,Span,Stimulus,Response,Letter,corrResp,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,key_resp_3.keys,key_resp_3.corr,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,sound_loop.thisRepN,sound_loop.thisTrialN,sound_loop.thisN,sound_loop.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trialloop.thisRepN,trialloop.thisTrialN,trialloop.thisN,trialloop.thisIndex,trialloop2.thisRepN,trialloop2.thisTrialN,trialloop2.thisN,trialloop2.thisIndex,thisRow.t,notes,random_2.started,random_2.stopped,start_sound.started,start_sound.stopped,sound_question.started,sound_question_text.started,sound_question_textbox.started,sound_question_resp.started,sound_question.stopped,sound_loop.sound_question_textbox.text,sound_loop.sound_question_resp.keys,sound_loop.sound_question_resp.rt,sound_loop.sound_question_resp.duration,nback_instruction.started,nback_inst.started,key_resp.started,nback_instruction.stopped,sound_loop.key_resp.keys,sound_loop.key_resp.rt,sound_loop.key_resp.duration,nback.started,nback_stim.started,nback_resp.started,nback_resp.stopped,nback.stopped,trials_3.nback_resp.keys,trials_3.nback_resp.corr,nback_stim.stopped,instructions.started,inst_text.started,key_resp_5.started,instructions.stopped,practice_warning.started,text_6.started,practice_warning.stopped,stimulus.started,text.started,key_resp_2.started,stimulus.stopped,trialloop.key_resp_2.keys,trialloop.key_resp_2.corr,trialloop.key_resp_2.rt,trialloop.key_resp_2.duration,ospan_stim.started,text_2.started,ospan_stim.stopped,Recall.started,text_3.started,key_resp_3.started,key_resp_4.started,Recall.stopped,sound_loop.key_resp_3.keys,sound_loop.key_resp_3.corr,sound_loop.key_resp_4.keys,sound_loop.key_resp_4.rt,sound_loop.key_resp_4.duration,trial_warning.started,text_5.started,trial_warning.stopped,trialloop2.key_resp_2.keys,trialloop2.key_resp_2.corr,trialloop2.key_resp_2.rt,trialloop2.key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,A,None,binaural ,return,9.513145099859685,None,space,0.7046147002838552,None,None,1,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,11.465381999965757,,0.07703790022060275,0.0771820000372827,0.5738710998557508,0.5739454999566078,0.6111019002273679,0.6345783998258412,0.6345783998258412,0.6345783998258412,10.155789100099355,binaural ,return,9.513145099859685,None,10.15588349988684,10.166550000198185,10.667171800043434,11.377328100148588,space,0.7046147002838552,None,11.442809599917382,12.899988899938762,12.899988899938762,13.417005899827927,13.883392999880016,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2025-05-13_16h25.58.394,OperationSpanTask,2024.2.4,60,2025-05-13 16h26.02.045447 -0700,
1,1,0,R,None,binaural ,return,9.513145099859685,None,space,0.7046147002838552,None,None,1,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,13.915275400038809,,,,,,,,,,,,,,,,,,,,,,13.897968200035393,15.382126899901778,15.382126899901778,15.882654699962586,16.371365199796855,None,1,16.397425000090152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2025-05-13_16h25.58.394,OperationSpanTask,2024.2.4,60,2025-05-13 16h26.02.045447 -0700,
2,2,0,K,None,binaural ,return,9.513145099859685,None,space,0.7046147002838552,None,None,1,,,,,,,,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,16.397425000090152,,,,,,,,,,,,,,,,,,,,,,16.381080999970436,17.881354299839586,17.881354299839586,18.38249300001189,18.874316399917006,None,1,18.898432800080627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2025-05-13_16h25.58.394,OperationSpanTask,2024.2.4,60,2025-05-13 16h26.02.045447 -0700,
3,3,0,R,None,binaural ,return,9.513145099859685,None,space,0.7046147002838552,None,None,1,,,,,,,,,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,18.898432800080627,,,,,,,,,,,,,,,,,,,,,,18.882021800149232,20.41479569999501,20.41479569999501,20.947915900032967,21.390560999978334,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2025-05-13_16h25.58.394,OperationSpanTask,2024.2.4,60,2025-05-13 16h26.02.045447 -0700,
4,4,0,P,None,binaural ,return,9.513145099859685,None,space,0.7046147002838552,None,None,1,,,,,,,,,,,,,,,,0,0,0,0,0,4,4,4,,,,,,,,,21.41385510005057,,,,,,,,,,,,,,,,,,,,,,21.40166739979759,22.897423800081015,22.897423800081015,23.396792800165713,23.88296280009672,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2025-05-13_16h25.58.394,OperationSpanTask,2024.2.4,60,2025-05-13 16h26.02.045447 -0700,
5,5,0,K,space,binaural ,return,9.513145099859685,None,space,0.7046147002838552,None,None,0,,,,,,,,,,,,,,,,0,0,0,0,0,5,5,5,,,,,,,,,23.89651730004698,,,,,,,,,,,,,,,,,,,,,,23.885134499985725,25.396881400141865,25.396881400141865,25.91314940014854,26.390126400161535,None,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2025-05-13_16h25.58.394,OperationSpanTask,2024.2.4,60,2025-05-13 16h26.02.045447 -0700,
6,6,0,A,None,binaural ,return,9.513145099859685,None,space,0.7046147002838552,None,None,1,,,,,,,,,,,,,,,,0,0,0,0,0,6,6,6,,,,,,,,,26.41287219990045,,,,,,,,,,,,,,,,,,,,,,26.400007599964738,27.89580410020426,27.89580410020426,28.39552230015397,28.88674020022154,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2025-05-13_16h25.58.394,OperationSpanTask,2024.2.4,60,2025-05-13 16h26.02.045447 -0700,
7,7,0,B,None,binaural ,return,9.513145099859685,None,space,0.7046147002838552,None,None,1,,,,,,,,,,,,,,,,0,0,0,0,0,7,7,7,,,,,,,,,28.91118700010702,,,,,,,,,,,,,,,,,,,,,,28.89921690011397,30.37838920019567,30.37838920019567,30.878306800033897,31.36490540020168,None,1,31.376935999840498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2025-05-13_16h25.58.394,OperationSpanTask,2024.2.4,60,2025-05-13 16h26.02.045447 -0700,
8,8,0,E,None,binaural ,return,9.513145099859685,None,space,0.7046147002838552,None,None,1,,,,,,,,,,,,,,,,0,0,0,0,0,8,8,8,,,,,,,,,31.376935999840498,,,,,,,,,,,,,,,,,,,,,,31.370546400081366,32.87819699989632,32.87819699989632,33.377718000207096,33.86575389979407,None,1,33.87758899992332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2025-05-13_16h25.58.394,OperationSpanTask,2024.2.4,60,2025-05-13 16h26.02.045447 -0700,
9,9,0,A,space,binaural ,return,9.513145099859685,None,space,0.7046147002838552,None,None,0,,,,,,,,,,,,,,,,0,0,0,0,0,9,9,9,,,,,,,,,33.87758899992332,,,,,,,,,,,,,,,,,,,,,,33.869592499919236,35.377043900080025,35.377043900080025,35.87722550006583,36.3633380997926,None,0,36.37700610002503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2025-05-13_16h25.58.394,OperationSpanTask,2024.2.4,60,2025-05-13 16h26.02.045447 -0700,
