Eligebloque,Tipo,Span,Estimulo,Respuesta,Letra,CorRec,ensayos.thisRepN,ensayos.thisTrialN,ensayos.thisN,ensayos.thisIndex,ensayosejem.thisRepN,ensayosejem.thisTrialN,ensayosejem.thisN,ensayosejem.thisIndex,span2.thisRepN,span2.thisTrialN,span2.thisN,span2.thisIndex,ensayos2.thisRepN,ensayos2.thisTrialN,ensayos2.thisN,ensayos2.thisIndex,span3.thisRepN,span3.thisTrialN,span3.thisN,span3.thisIndex,ensayos3.thisRepN,ensayos3.thisTrialN,ensayos3.thisN,ensayos3.thisIndex,span4.thisRepN,span4.thisTrialN,span4.thisN,span4.thisIndex,ensayos4.thisRepN,ensayos4.thisTrialN,ensayos4.thisN,ensayos4.thisIndex,span5.thisRepN,span5.thisTrialN,span5.thisN,span5.thisIndex,ensayos5.thisRepN,ensayos5.thisTrialN,ensayos5.thisN,ensayos5.thisIndex,span6.thisRepN,span6.thisTrialN,span6.thisN,span6.thisIndex,ensayos6.thisRepN,ensayos6.thisTrialN,ensayos6.thisN,ensayos6.thisIndex,text_4.started,text_4.stopped,text_6.started,text_6.stopped,text.started,text.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_2.started,text_2.stopped,text_3.started,text_3.stopped,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text_5.started,text_5.stopped,participant,session,date,expName,psychopyVersion,frameRate,
Bloque1.xlsx,Operation,Ejemplo,( 3 - 1 ) × 2 = 4,right,D,None,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.665343200031202,None,59.24523880000925,None,61.643695100035984,None,right,1,3.060289899993222,61.643695100035984,None,64.77700810000533,None,,,,,,,,,,,,,,2 (jcm),001,2021_Apr_25_1132,OperationSpanTask,2021.1.2,60.05749903294543,
Bloque1.xlsx,Operation,Ejemplo,( 3 + 6 ) × 2 = 16,left,T,"['d', 't']",0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.08178180002142,None,left,1,4.046403699961957,66.08178180002142,None,70.16504400002304,None,,,,,,,,,,,,,,2 (jcm),001,2021_Apr_25_1132,OperationSpanTask,2021.1.2,60.05749903294543,
Bloque1.xlsx,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.16400049999356,None,"['d', 't']",1,"[3.0417166000115685, 8.514243000012357]",71.16400049999356,None,space,9.148101600003429,71.64923430001363,None,,,2 (jcm),001,2021_Apr_25_1132,OperationSpanTask,2021.1.2,60.05749903294543,
Bloque2.xlsx,Operation,Ejemplo,( 5 - 2 ) × 2 = 3,left,R,None,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.83636459999252,None,83.21450830000686,None,left,1,4.96732489997521,83.21450830000686,None,88.23407950002002,None,,,,,,,,,,,,,,2 (jcm),001,2021_Apr_25_1132,OperationSpanTask,2021.1.2,60.05749903294543,
Bloque2.xlsx,Operation,Ejemplo,( 4 + 1 ) × 1 = 5,right,V,"['r', 'v']",0,1,1,1,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.52066690003267,None,right,1,2.531356699997559,89.52066690003267,None,92.10045690002153,None,,,,,,,,,,,,,,2 (jcm),001,2021_Apr_25_1132,OperationSpanTask,2021.1.2,60.05749903294543,
Bloque2.xlsx,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.10476160002872,None,"['r', 'v']",1,"[1.1525156000279821, 1.6194943000446074]",93.10476160002872,None,space,2.7937667000223882,93.588757599995,None,,,2 (jcm),001,2021_Apr_25_1132,OperationSpanTask,2021.1.2,60.05749903294543,
Bloque1.xlsx,Operation,2,( 4 - 1 ) × 1 = 6,left,S,None,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.31405370001448,None,left,1,2.5116021999856457,98.31405370001448,None,100.88431910000509,None,,,,,,,,,,,,96.46741320000729,None,2 (jcm),001,2021_Apr_25_1132,OperationSpanTask,2021.1.2,60.05749903294543,
Bloque1.xlsx,Operation,2,( 3 + 1 ) × 3 = 12,right,B,"['s', 'b']",,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.16806400002679,None,right,1,2.035920599999372,102.16806400002679,None,104.24911780003458,None,,,,,,,,,,,,,,2 (jcm),001,2021_Apr_25_1132,OperationSpanTask,2021.1.2,60.05749903294543,
Bloque1.xlsx,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.24717500002589,None,"['c', 'b']",0,"[2.1786310999887064, 2.7264047999633476]",105.24717500002589,None,space,4.412320900009945,105.72265760001028,None,,,2 (jcm),001,2021_Apr_25_1132,OperationSpanTask,2021.1.2,60.05749903294543,
Bloque2.xlsx,Operation,2,( 4 - 2 ) × 2 = 6,left,T,None,,,,,,,,,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.06272899999749,None,left,1,2.1243514999514446,112.06272899999749,None,114.22283059998881,None,,,,,,,,,,,,110.18514489999507,None,2 (jcm),001,2021_Apr_25_1132,OperationSpanTask,2021.1.2,60.05749903294543,
Bloque2.xlsx,Operation,2,( 4 - 1 ) × 4 = 12,right,N,"['t', 'n']",,,,,,,,,0,1,1,1,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.5174973999965,None,right,1,1.9702386999852024,115.5174973999965,None,117.55015840003034,None,,,,,,,,,,,,,,2 (jcm),001,2021_Apr_25_1132,OperationSpanTask,2021.1.2,60.05749903294543,
Bloque2.xlsx,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.52610560000176,None,"['t', 'n']",1,"[1.0678288000053726, 1.8821309999912046]",118.52610560000176,None,space,2.2279420999693684,119.00724260002607,None,,,2 (jcm),001,2021_Apr_25_1132,OperationSpanTask,2021.1.2,60.05749903294543,
Bloque3.xlsx,Operation,2,( 3 + 6 ) × 4 = 36,right,P,None,,,,,,,,,0,2,2,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.10825440002372,None,right,1,2.126111299963668,123.10825440002372,None,125.28584480000427,None,,,,,,,,,,,,121.2743300999864,None,2 (jcm),001,2021_Apr_25_1132,OperationSpanTask,2021.1.2,60.05749903294543,
Bloque3.xlsx,Operation,2,( 5 - 1 ) × 1 = 6,left,R,"['p', 'r']",,,,,,,,,0,2,2,2,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.56274590000976,None,left,1,1.782080200035125,126.56274590000976,None,128.38024239998776,None,,,,,,,,,,,,,,2 (jcm),001,2021_Apr_25_1132,OperationSpanTask,2021.1.2,60.05749903294543,
