selectblock,thisN,thisTrialN,thisRepN,Type,Span,Stimulus,Response,Letter,corrResp,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trialloop.thisRepN,trialloop.thisTrialN,trialloop.thisN,trialloop.thisIndex,ospan2.thisRepN,ospan2.thisTrialN,ospan2.thisN,ospan2.thisIndex,trialloop2.thisRepN,trialloop2.thisTrialN,trialloop2.thisN,trialloop2.thisIndex,ospan3.thisRepN,ospan3.thisTrialN,ospan3.thisN,ospan3.thisIndex,trialloop3.thisRepN,trialloop3.thisTrialN,trialloop3.thisN,trialloop3.thisIndex,thisRow.t,notes,instructions.started,inst_text.started,key_resp_5.started,instructions.stopped,warning.started,text_6.started,warning.stopped,trial.started,text.started,key_resp_2.started,trial.stopped,trialloop.key_resp_2.keys,trialloop.key_resp_2.corr,trialloop.key_resp_2.rt,trialloop.key_resp_2.duration,mem.started,text_2.started,mem.stopped,Recall.started,text_3.started,key_resp_3.started,key_resp_4.started,Recall.stopped,trials.key_resp_3.keys,trials.key_resp_3.corr,trials.key_resp_3.rt,trials.key_resp_3.duration,trials.key_resp_4.keys,trials.key_resp_4.rt,trials.key_resp_4.duration,warning1.started,text_5.started,warning1.stopped,trialloop2.key_resp_2.keys,trialloop2.key_resp_2.corr,trialloop2.key_resp_2.rt,trialloop2.key_resp_2.duration,ospan2.key_resp_3.keys,ospan2.key_resp_3.corr,ospan2.key_resp_3.rt,ospan2.key_resp_3.duration,ospan2.key_resp_4.keys,ospan2.key_resp_4.rt,ospan2.key_resp_4.duration,text_2.stopped,text_5.stopped,trialloop3.key_resp_2.keys,trialloop3.key_resp_2.corr,trialloop3.key_resp_2.rt,trialloop3.key_resp_2.duration,ospan3.key_resp_3.keys,ospan3.key_resp_3.corr,ospan3.key_resp_3.rt,ospan3.key_resp_3.duration,ospan3.key_resp_4.keys,ospan3.key_resp_4.rt,ospan3.key_resp_4.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008273100014775991,0.022038299590349197,1.0042527997866273,40.23242279980332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3245241,001,2025-05-08_12h58.36.921,OperationSpanTask,2024.2.4,60.26605058232266,2025-05-08 12h58.48.542300 -0700,
Block1.xlsx,0,0,0,Operation,Example,( 3 - 1 ) × 2 = 4,right,D,None,right,1,3.204108100384474,None,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,42.3078921996057,,,,,,40.24806369980797,40.2609778996557,42.24818869959563,42.297536599915475,42.53270349977538,42.53270349977538,45.75261709978804,right,1,3.204108100384474,None,45.763232099823654,45.77470739977434,46.76955629978329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3245241,001,2025-05-08_12h58.36.921,OperationSpanTask,2024.2.4,60.26605058232266,2025-05-08 12h58.48.542300 -0700,
Block1.xlsx,1,1,0,Operation,Example,( 3 + 6 ) × 2 = 16,left,T,"['d', 't']",left,1,2.4019424999132752,None,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,46.79393449984491,,,,,,,,,46.78459139959887,47.053160700015724,47.053160700015724,49.458048299886286,left,1,2.4019424999132752,None,49.46892669983208,49.48046679981053,50.472900399938226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3245241,001,2025-05-08_12h58.36.921,OperationSpanTask,2024.2.4,60.26605058232266,2025-05-08 12h58.48.542300 -0700,
Block1.xlsx,0,0,0,,,,,,,,,,,"['d', 't']",1,"[2.2101413998752832, 3.0058741997927427]","[0.0794150996953249, 0.08672549994662404]",space,6.75938589964062,None,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.47575549967587,50.49103149957955,50.49103149957955,50.95934179984033,57.731357199605554,"['d', 't']",1,"[2.2101413998752832, 3.0058741997927427]","[0.0794150996953249, 0.08672549994662404]",space,6.75938589964062,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,3245241,001,2025-05-08_12h58.36.921,OperationSpanTask,2024.2.4,60.26605058232266,2025-05-08 12h58.48.542300 -0700,
Block2.xlsx,0,0,0,Operation,Example,( 5 - 2 ) × 2 = 3,left,R,None,left,1,2.4612312000244856,None,,,,,,,,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,59.768211799673736,,,,,,57.7316176998429,57.74626289959997,59.732132599689066,59.75923869991675,60.0324095999822,60.0324095999822,62.50306089967489,left,1,2.4612312000244856,None,62.51335379993543,62.524467499926686,63.51902619982138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3245241,001,2025-05-08_12h58.36.921,OperationSpanTask,2024.2.4,60.26605058232266,2025-05-08 12h58.48.542300 -0700,
Block2.xlsx,1,1,0,Operation,Example,( 4 + 1 ) × 1 = 5,right,V,"['r', 'v']",right,1,1.9313412001356483,None,,,,,,,,0,1,1,1,0,1,1,1,,,,,,,,,,,,,,,,,63.53613459970802,,,,,,,,,63.52319489978254,63.80257479986176,63.80257479986176,65.73963809991255,right,1,1.9313412001356483,None,65.74658619984984,65.7579831997864,66.75598879996687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3245241,001,2025-05-08_12h58.36.921,OperationSpanTask,2024.2.4,60.26605058232266,2025-05-08 12h58.48.542300 -0700,
Block2.xlsx,1,1,0,,,,,,,,,,,"['r', 'v']",1,"[0.9257744001224637, 1.3475752002559602]","[0.08802599972113967, 0.09993689972907305]",space,1.6725955000147223,None,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.75814539985731,66.7720488999039,66.7720488999039,67.23980519967154,68.92586539965123,"['r', 'v']",1,"[0.9257744001224637, 1.3475752002559602]","[0.08802599972113967, 0.09993689972907305]",space,1.6725955000147223,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,3245241,001,2025-05-08_12h58.36.921,OperationSpanTask,2024.2.4,60.26605058232266,2025-05-08 12h58.48.542300 -0700,
Block1.xlsx,0,0,0,Operation,2,( 4 - 1 ) × 1 = 6,left,S,None,left,1,2.0335337999276817,None,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,71.4533629999496,,,,,,,,,71.44359829975292,71.72709769988433,71.72709769988433,73.7640761998482,,,,,73.77138419961557,73.78230279963464,74.78063399996608,,,,,,,,,,,,,68.93470849981532,68.94699969980866,71.42713429965079,left,1,2.0335337999276817,None,,,,,,,,,,,,,,,,,,,,,3245241,001,2025-05-08_12h58.36.921,OperationSpanTask,2024.2.4,60.26605058232266,2025-05-08 12h58.48.542300 -0700,
Block1.xlsx,1,1,0,Operation,2,( 3 + 1 ) × 3 = 12,right,B,"['s', 'b']",right,1,1.9913502000272274,None,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,74.79735099989921,,,,,,,,,74.78420029999688,75.06389869982377,75.06389869982377,77.06741849984974,,,,,77.07289849966764,77.08534829970449,78.08355350000784,,,,,,,,,,,,,,,,right,1,1.9913502000272274,None,,,,,,,,,,,,,,,,,,,,,3245241,001,2025-05-08_12h58.36.921,OperationSpanTask,2024.2.4,60.26605058232266,2025-05-08 12h58.48.542300 -0700,
Block1.xlsx,0,0,0,,,,,,,,,,,"['s', 'b']",1,"[0.860338400118053, 1.2481478000991046]","[0.07878589956089854, 0.07005909970030189]",space,1.5249823997728527,None,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.08497249986976,78.1002309997566,78.1002309997566,78.56734409974888,80.10395989986137,,,,,,,,,,,,,,,"['s', 'b']",1,"[0.860338400118053, 1.2481478000991046]","[0.07878589956089854, 0.07005909970030189]",space,1.5249823997728527,None,,,,,,,,,,,,,,3245241,001,2025-05-08_12h58.36.921,OperationSpanTask,2024.2.4,60.26605058232266,2025-05-08 12h58.48.542300 -0700,
