selectblock,thisN,thisTrialN,thisRepN,Type,Span,Stimulus,Response,Letter,corrResp,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,letter,correct,nback_resp.keys,nback_resp.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trialloop.thisRepN,trialloop.thisTrialN,trialloop.thisN,trialloop.thisIndex,span2.thisRepN,span2.thisTrialN,span2.thisN,span2.thisIndex,trialloop2.thisRepN,trialloop2.thisTrialN,trialloop2.thisN,trialloop2.thisIndex,span3.thisRepN,span3.thisTrialN,span3.thisN,span3.thisIndex,trialloop3.thisRepN,trialloop3.thisTrialN,trialloop3.thisN,trialloop3.thisIndex,span4.thisRepN,span4.thisTrialN,span4.thisN,span4.thisIndex,trialloop4.thisRepN,trialloop4.thisTrialN,trialloop4.thisN,trialloop4.thisIndex,span5.thisRepN,span5.thisTrialN,span5.thisN,span5.thisIndex,trialloop5.thisRepN,trialloop5.thisTrialN,trialloop5.thisN,trialloop5.thisIndex,span6.thisRepN,span6.thisTrialN,span6.thisN,span6.thisIndex,trialloop6.thisRepN,trialloop6.thisTrialN,trialloop6.thisN,trialloop6.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,instructions.started,inst_text.started,key_resp_5.started,instructions.stopped,practice_warning.started,text_6.started,practice_warning.stopped,stimulus.started,text.started,key_resp_2.started,stimulus.stopped,trialloop.key_resp_2.keys,trialloop.key_resp_2.corr,trialloop.key_resp_2.rt,trialloop.key_resp_2.duration,letter.started,text_2.started,letter.stopped,Recall.started,text_3.started,key_resp_3.started,key_resp_4.started,Recall.stopped,trials.key_resp_3.keys,trials.key_resp_3.corr,trials.key_resp_3.rt,trials.key_resp_3.duration,trials.key_resp_4.keys,trials.key_resp_4.rt,trials.key_resp_4.duration,text_6.stopped,trial_warning.started,text_5.started,trial_warning.stopped,trialloop2.key_resp_2.keys,trialloop2.key_resp_2.corr,trialloop2.key_resp_2.rt,trialloop2.key_resp_2.duration,span2.key_resp_3.keys,span2.key_resp_3.corr,span2.key_resp_3.rt,span2.key_resp_3.duration,span2.key_resp_4.keys,span2.key_resp_4.rt,span2.key_resp_4.duration,text_5.stopped,text_2.stopped,trialloop3.key_resp_2.keys,trialloop3.key_resp_2.corr,trialloop3.key_resp_2.rt,trialloop3.key_resp_2.duration,span3.key_resp_3.keys,span3.key_resp_3.corr,span3.key_resp_3.rt,span3.key_resp_3.duration,span3.key_resp_4.keys,span3.key_resp_4.rt,span3.key_resp_4.duration,trialloop4.key_resp_2.keys,trialloop4.key_resp_2.corr,trialloop4.key_resp_2.rt,trialloop4.key_resp_2.duration,span4.key_resp_3.keys,span4.key_resp_3.corr,span4.key_resp_3.rt,span4.key_resp_3.duration,span4.key_resp_4.keys,span4.key_resp_4.rt,span4.key_resp_4.duration,trialloop5.key_resp_2.keys,trialloop5.key_resp_2.corr,trialloop5.key_resp_2.rt,trialloop5.key_resp_2.duration,span5.key_resp_3.keys,span5.key_resp_3.corr,span5.key_resp_3.rt,span5.key_resp_3.duration,span5.key_resp_4.keys,span5.key_resp_4.rt,span5.key_resp_4.duration,trialloop6.key_resp_2.keys,trialloop6.key_resp_2.corr,trialloop6.key_resp_2.rt,trialloop6.key_resp_2.duration,span6.key_resp_3.keys,span6.key_resp_3.corr,span6.key_resp_3.rt,span6.key_resp_3.duration,span6.key_resp_4.keys,span6.key_resp_4.rt,span6.key_resp_4.duration,nback_instruction.started,nback_inst.started,key_resp.started,nback_instruction.stopped,key_resp.keys,key_resp.rt,key_resp.duration,nback.started,nback_stim.started,nback_resp.started,nback_resp.stopped,nback_stim.stopped,nback.stopped,trials_2.nback_resp.keys,trials_2.nback_resp.corr,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004637700039893389,0.016148099675774574,1.001071599777788,3.3267021998763084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8788897,001,2025-05-08_15h32.36.625,OperationSpanTask,2024.2.4,60.003768293283464,2025-05-08 15h32.45.991288 -0700,
Block1.xlsx,0,0,0,Operation,Example,( 3 - 1 ) × 2 = 4,right,D,None,right,1,2.496350800152868,None,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.393232599832118,,,,,,3.341768200043589,3.3536240998655558,5.332863099873066,5.387371900025755,5.6322460998781025,5.6322460998781025,8.134206499904394,right,1,2.496350800152868,None,8.144036799669266,8.153323999606073,9.14974100003019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8788897,001,2025-05-08_15h32.36.625,OperationSpanTask,2024.2.4,60.003768293283464,2025-05-08 15h32.45.991288 -0700,
Block1.xlsx,1,1,0,Operation,Example,( 3 + 6 ) × 2 = 16,left,T,"['d', 't']",left,1,1.1758775999769568,None,,,,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.173564999829978,,,,,,,,,9.166750999633223,9.448448000010103,9.448448000010103,10.634246999863535,left,1,1.1758775999769568,None,10.643639199901372,10.65272399969399,11.64792349981144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8788897,001,2025-05-08_15h32.36.625,OperationSpanTask,2024.2.4,60.003768293283464,2025-05-08 15h32.45.991288 -0700,
Block1.xlsx,0,0,0,,,,,,,,,,,"['d', 't']",1,"[0.4031784003600478, 0.8299278002232313]","[0.13072869973257184, 0.10249699978157878]",space,2.093148299958557,None,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.649822699837387,11.664783299900591,11.664783299900591,12.14846169995144,14.249818899668753,"['d', 't']",1,"[0.4031784003600478, 0.8299278002232313]","[0.13072869973257184, 0.10249699978157878]",space,2.093148299958557,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8788897,001,2025-05-08_15h32.36.625,OperationSpanTask,2024.2.4,60.003768293283464,2025-05-08 15h32.45.991288 -0700,
Block2.xlsx,0,0,0,Operation,Example,( 5 - 2 ) × 2 = 3,left,R,None,left,1,5.048596499953419,None,,,,,,,,,,,,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.298494699876755,,,,,,14.250199500005692,14.264499200042337,16.248504299670458,16.291266799904406,16.564066799823195,16.564066799823195,21.61473779985681,left,1,5.048596499953419,None,21.62144250003621,21.630483199842274,22.629589200019836,,,,,,,,,,,,,16.298494699876755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8788897,001,2025-05-08_15h32.36.625,OperationSpanTask,2024.2.4,60.003768293283464,2025-05-08 15h32.45.991288 -0700,
Block2.xlsx,1,1,0,Operation,Example,( 4 + 1 ) × 1 = 5,right,V,"['r', 'v']",right,1,1.509902199730277,None,,,,,,,,,,,,0,1,1,1,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.646437999792397,,,,,,,,,22.63686480000615,22.929332199972123,22.929332199972123,24.447909399867058,right,1,1.509902199730277,None,24.460460599977523,24.468869699630886,25.46329789981246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8788897,001,2025-05-08_15h32.36.625,OperationSpanTask,2024.2.4,60.003768293283464,2025-05-08 15h32.45.991288 -0700,
Block2.xlsx,1,1,0,,,,,,,,,,,"['r', 'v']",1,"[0.8450096002779901, 1.0732052000239491]","[0.10726379975676537, 0.10309790028259158]",space,1.2843545000068843,None,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.468286799732596,25.478362699970603,25.478362699970603,25.961627499666065,27.26357019972056,"['r', 'v']",1,"[0.8450096002779901, 1.0732052000239491]","[0.10726379975676537, 0.10309790028259158]",space,1.2843545000068843,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8788897,001,2025-05-08_15h32.36.625,OperationSpanTask,2024.2.4,60.003768293283464,2025-05-08 15h32.45.991288 -0700,
Block1.xlsx,0,0,0,Operation,2,( 4 - 1 ) × 1 = 6,left,S,None,left,1,2.0118172001093626,None,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.847259699832648,,,,,,,,,29.837617099750787,30.07690509967506,30.07690509967506,32.095987499691546,,,,,32.10677299974486,32.11525689996779,33.11077589960769,,,,,,,,,,,,,,27.278822700027376,27.28827719995752,29.778857999946922,left,1,2.0118172001093626,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8788897,001,2025-05-08_15h32.36.625,OperationSpanTask,2024.2.4,60.003768293283464,2025-05-08 15h32.45.991288 -0700,
Block1.xlsx,1,1,0,Operation,2,( 3 + 1 ) × 3 = 12,right,B,"['s', 'b']",right,1,2.3958441000431776,None,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.12875059992075,,,,,,,,,33.12014859961346,33.40980469994247,33.40980469994247,35.81212949985638,,,,,35.82047789962962,35.829139799810946,36.82783989980817,,,,,,,,,,,,,,,,,right,1,2.3958441000431776,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8788897,001,2025-05-08_15h32.36.625,OperationSpanTask,2024.2.4,60.003768293283464,2025-05-08 15h32.45.991288 -0700,
Block1.xlsx,0,0,0,,,,,,,,,,,"['r', 'b']",0,"[3.4815837000496686, 3.7130581000819802]","[0.09734069975093007, 0.0933950999751687]",space,4.667016899678856,None,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.83503620000556,36.84546949993819,36.84546949993819,37.325804399792105,42.01017799973488,,,,,,,,,,,,,,,,"['r', 'b']",0,"[3.4815837000496686, 3.7130581000819802]","[0.09734069975093007, 0.0933950999751687]",space,4.667016899678856,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8788897,001,2025-05-08_15h32.36.625,OperationSpanTask,2024.2.4,60.003768293283464,2025-05-08 15h32.45.991288 -0700,
