Eligebloque,Tipo,Span,Estimulo,Respuesta,Letra,CorRec,ensayos.thisRepN,ensayos.thisTrialN,ensayos.thisN,ensayos.thisIndex,ensayosejem.thisRepN,ensayosejem.thisTrialN,ensayosejem.thisN,ensayosejem.thisIndex,span2.thisRepN,span2.thisTrialN,span2.thisN,span2.thisIndex,ensayos2.thisRepN,ensayos2.thisTrialN,ensayos2.thisN,ensayos2.thisIndex,span3.thisRepN,span3.thisTrialN,span3.thisN,span3.thisIndex,ensayos3.thisRepN,ensayos3.thisTrialN,ensayos3.thisN,ensayos3.thisIndex,span4.thisRepN,span4.thisTrialN,span4.thisN,span4.thisIndex,ensayos4.thisRepN,ensayos4.thisTrialN,ensayos4.thisN,ensayos4.thisIndex,span5.thisRepN,span5.thisTrialN,span5.thisN,span5.thisIndex,ensayos5.thisRepN,ensayos5.thisTrialN,ensayos5.thisN,ensayos5.thisIndex,span6.thisRepN,span6.thisTrialN,span6.thisN,span6.thisIndex,ensayos6.thisRepN,ensayos6.thisTrialN,ensayos6.thisN,ensayos6.thisIndex,text_4.started,text_4.stopped,text_6.started,text_6.stopped,text.started,text.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_2.started,text_2.stopped,text_3.started,text_3.stopped,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text_5.started,text_5.stopped,participant,session,date,expName,psychopyVersion,frameRate,
Bloque1.xlsx,Operation,Ejemplo,( 3 - 1 ) × 2 = 4,right,D,None,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.88131029997021,None,50.490280099911615,None,52.90332700009458,None,right,1,2.894952100003138,52.90332700009458,None,55.85793550009839,None,,,,,,,,,,,,,,GH,001,2021_Apr_02_1009,OperationSpanTask,2021.1.2,60.09767075060291,
Bloque1.xlsx,Operation,Ejemplo,( 3 + 6 ) × 2 = 16,left,T,"['d', 't']",0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.17788999993354,None,left,1,3.3575051000807434,57.17788999993354,None,60.584323700051755,None,,,,,,,,,,,,,,GH,001,2021_Apr_02_1009,OperationSpanTask,2021.1.2,60.09767075060291,
Bloque1.xlsx,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.56725790002383,None,"['d', 't']",1,"[1.208369999891147, 1.536997799994424]",61.56725790002383,None,space,6.058085100026801,62.044807200087234,None,,,GH,001,2021_Apr_02_1009,OperationSpanTask,2021.1.2,60.09767075060291,
Bloque2.xlsx,Operation,Ejemplo,( 5 - 2 ) × 2 = 3,left,R,None,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.15084709995426,None,70.52258550003171,None,left,1,2.6118161000777036,70.52258550003171,None,73.21386609994806,None,,,,,,,,,,,,,,GH,001,2021_Apr_02_1009,OperationSpanTask,2021.1.2,60.09767075060291,
Bloque2.xlsx,Operation,Ejemplo,( 4 + 1 ) × 1 = 5,right,V,"['r', 'v']",0,1,1,1,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.51592479995452,None,right,1,3.637857200112194,74.51592479995452,None,78.20447909994982,None,,,,,,,,,,,,,,GH,001,2021_Apr_02_1009,OperationSpanTask,2021.1.2,60.09767075060291,
Bloque2.xlsx,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.1790495000314,None,"['r', 'v']",1,"[1.7211738999467343, 2.281500200042501]",79.1790495000314,None,space,2.3261722999159247,79.6706594999414,None,,,GH,001,2021_Apr_02_1009,OperationSpanTask,2021.1.2,60.09767075060291,
Bloque1.xlsx,Operation,2,( 4 - 1 ) × 1 = 6,left,S,None,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.85437639988959,None,left,1,2.3930337000638247,83.85437639988959,None,86.30650949990377,None,,,,,,,,,,,,82.03059950005263,None,GH,001,2021_Apr_02_1009,OperationSpanTask,2021.1.2,60.09767075060291,
Bloque1.xlsx,Operation,2,( 3 + 1 ) × 3 = 12,right,B,"['s', 'b']",,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.59489919990301,None,right,1,2.036380800185725,87.59489919990301,None,89.68366910004988,None,,,,,,,,,,,,,,GH,001,2021_Apr_02_1009,OperationSpanTask,2021.1.2,60.09767075060291,
Bloque1.xlsx,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.67993719992228,None,"['s', 'b']",1,"[1.7730137000326067, 2.250478300033137]",90.67993719992228,None,space,2.2070328001864254,91.16610289993696,None,,,GH,001,2021_Apr_02_1009,OperationSpanTask,2021.1.2,60.09767075060291,
Bloque2.xlsx,Operation,2,( 4 - 2 ) × 2 = 6,left,T,None,,,,,,,,,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.2657236000523,None,left,1,4.626062199939042,95.2657236000523,None,99.93053400004283,None,,,,,,,,,,,,93.3974361999426,None,GH,001,2021_Apr_02_1009,OperationSpanTask,2021.1.2,60.09767075060291,
Bloque2.xlsx,Operation,2,( 4 - 1 ) × 4 = 12,right,N,"['t', 'n']",,,,,,,,,0,1,1,1,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.24150880007073,None,right,1,4.134065099991858,101.24150880007073,None,105.4101313999854,None,,,,,,,,,,,,,,GH,001,2021_Apr_02_1009,OperationSpanTask,2021.1.2,60.09767075060291,
Bloque2.xlsx,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.408404200105,None,"['t', 'n']",1,"[1.3459123000502586, 1.8118974000681192]",106.408404200105,None,space,1.8116407000925392,106.88155029993504,None,,,GH,001,2021_Apr_02_1009,OperationSpanTask,2021.1.2,60.09767075060291,
Bloque3.xlsx,Operation,2,( 3 + 6 ) × 4 = 36,right,P,None,,,,,,,,,0,2,2,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.66993570001796,None,right,1,3.213295499794185,110.66993570001796,None,113.9440357000567,None,,,,,,,,,,,,108.73368679988198,None,GH,001,2021_Apr_02_1009,OperationSpanTask,2021.1.2,60.09767075060291,
Bloque3.xlsx,Operation,2,( 5 - 1 ) × 1 = 6,left,R,"['p', 'r']",,,,,,,,,0,2,2,2,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.23521389998496,None,left,1,2.0754333999939263,115.23521389998496,None,117.3476009001024,None,,,,,,,,,,,,,,GH,001,2021_Apr_02_1009,OperationSpanTask,2021.1.2,60.09767075060291,
Bloque3.xlsx,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.35499439993873,None,"['p', 'r']",1,"[2.1023717999923974, 2.773084199987352]",118.35499439993873,None,space,2.868903699796647,118.83729419996962,None,,,GH,001,2021_Apr_02_1009,OperationSpanTask,2021.1.2,60.09767075060291,
Bloque1.xlsx,Operation,3,( 4 + 2 ) × 2 = 8,left,C,None,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.59765770006925,None,left,1,3.510376200079918,123.59765770006925,None,127.16306350007653,None,,,,,,,,,,,,121.78913909988478,None,GH,001,2021_Apr_02_1009,OperationSpanTask,2021.1.2,60.09767075060291,
Bloque1.xlsx,Operation,3,( 3 - 1 ) × 3 = 5,left,L,None,,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.45578150008805,None,left,1,2.3228229999076575,128.45578150008805,None,130.8455409000162,None,,,,,,,,,,,,,,GH,001,2021_Apr_02_1009,OperationSpanTask,2021.1.2,60.09767075060291,
Bloque1.xlsx,Operation,3,( 5 - 1 ) × 5 = 20,right,G,"['c', 'l', 'g']",,,,,,,,,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.15679499995895,None,right,1,2.4813149999827147,132.15679499995895,None,134.69264980009757,None,,,,,,,,,,,,,,GH,001,2021_Apr_02_1009,OperationSpanTask,2021.1.2,60.09767075060291,
Bloque1.xlsx,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.6793768000789,None,"['c', 'l', 'g']",1,"[1.0705640998203307, 1.5871743999887258, 2.1812831999268383]",135.6793768000789,None,space,2.270542399957776,136.16777759999968,None,,,GH,001,2021_Apr_02_1009,OperationSpanTask,2021.1.2,60.09767075060291,
Bloque2.xlsx,Operation,3,( 4 - 2 ) × 3 = 9,left,J,None,,,,,,,,,,,,,,,,,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.31603539991193,None,left,1,8.468622699845582,140.31603539991193,None,148.84132459992543,None,,,,,,,,,,,,138.47217869991437,None,GH,001,2021_Apr_02_1009,OperationSpanTask,2021.1.2,60.09767075060291,
Bloque2.xlsx,Operation,3,( 3 + 8 ) × 5 = 53,left,M,None,,,,,,,,,,,,,,,,,0,1,1,1,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.12911149999127,None,left,1,3.5490846999455243,150.12911149999127,None,153.72973520006053,None,,,,,,,,,,,,,,GH,001,2021_Apr_02_1009,OperationSpanTask,2021.1.2,60.09767075060291,
Bloque2.xlsx,Operation,3,( 4 + 7 ) × 2 = 22,right,B,"['j', 'm', 'b']",,,,,,,,,,,,,,,,,0,1,1,1,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.03432379988953,None,right,1,4.372374599799514,155.03432379988953,None,159.43888120003976,None,,,,,,,,,,,,,,GH,001,2021_Apr_02_1009,OperationSpanTask,2021.1.2,60.09767075060291,
